Constituintes Autorizados,CAS,Especificações,Função,Alegações autorizadas e requisitos para uso da alegação,Requisitos de Rotulagem Complementar e outros,Outras Informações
Proteína de girassol (Helianthus annuus L.) concentrada,,"Codex Alimentarius General Standard For Vegetable Protein Products (VPP), CXS 174-1989.",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de grão-de-bico (Cicer arietinum L.),,"Codex Alimentarius General Standard For Vegetable Protein Products (VPP), CXS 174-1989.",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de Lentilha isolada (Lens culinaris Medik.),,"Codex Alimentarius General Standard For Vegetable Protein Products (VPP), CXS 174-1989.",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de soja,,"Codex Alimentarius General Standard For Soy Protein Products, CXS 175-1989",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de soja concentrada,9010-10-0,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de soja isolada,,"Codex Alimentarius General Standard For Vegetable Protein Products (VPP), CXS 174-1989",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de soro do leite concentrada,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de soro do leite hidrolisada,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de soro do leite isolada,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína de trigo,,FCC,Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína hidrolisada de carne bovina,,"Descrição/Definição
A proteína hidrolisada de carne bovina é obtida a partir da carne bovina aderida aos ossos que passa pelas etapas de trituração, cozimento, hidrólise, separação, filtração, evaporação, secagem, cominuição, peneiramento e armazenagem.

Parâmetros Físico-Químicos
Proteína bruta: mín. 96,0% 
Umidade: max. 6,0%",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,"Constituinte permitido apenas para suplementos alimentares indicados para indivíduos acima de 19 anos de idade, exceto gestantes e lactantes."
"Proteína isolada de Canola (Brassica napusL.,Brassica rapaL. eBrassica juncea(L.) Czern.)",,"Para esse constituinte foram aprovadas as especificações do fabricante: DSM Food Specialties B.V. - Delft, Países Baixos.",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína isolada de fava (Vicia faba L.),,"Codex Alimentarius General Standard For Vegetable Protein Products (VPP), CXS 174-1989.",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Proteína isolada de leite (obtida exclusivamente de leite bovino),,"Para esse constituinte foram aprovadas as especificações: Proteína (N x 6,38) base seca mínimo 90% m/m; Cinzas máximo 8,5% m/m; Umidade máximo 6,0% m/m; fonte de obtenção exclusivamente do leite bovino.",Fonte de proteínas,"1) Alegação: Fonte de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
2) Alegação: As proteínas auxiliam na formação dos músculos e ossos. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.
3) Alegação: Alto conteúdo/Rico em/Alto teor de proteínas. Requisitos: A alegação é restrita aos suplementos alimentares cuja: a) quantidade de proteína corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações; e b) quantidade de aminoácidos essenciais por grama de proteína do produto atenda aos valores mínimos estabelecidos para a proteína de referência, conforme IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Psyllium(Plantago ovatae),, USP-NF,Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: O psyllium auxilia na redução do colesterol sanguíneo. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 7 g de fibra de psyllium na recomendação diária de consumo.",Não há requisitos adicionais,
Quercetina,117-39-5, Food Chemicals Codex - FCC,Fonte de quercetina,Não foi aprovada alegação de propriedade funcional nem de saúde para o ingrediente,"A advertência ""Este produto não deve ser consumido por crianças, gestantes e lactantes."" deve constar na rotulagem do produto.",
Quitosana,,"FCC 

 USP-NF",Fonte de fibras alimentares,"1) Alegação: As fibras alimentares auxiliam no funcionamento do intestino.
Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
2) Alegação: Fonte de fibras. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de fibras alimentares atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A quitosana auxilia na manutenção dos níveis de colesterol sanguíneo. Requisitos: A alegação é restrita aos suplementos alimentares que forneçam no mínimo 3 g de quitosana na recomendação diária de consumo.
Suplementos à base de quitosana cuja quantidade de fibras alimentares não atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, devem ser denominados de ""suplemento alimentar de quitosana"" acrescido da forma farmacêutica do produto. Nesse caso, a denominação de venda não pode fazer referência a fibras alimentares.",Não há requisitos adicionais,
Retinol,68-26-8,"European pharmacopoeia 9.0 

FCC",Fonte de Vitamina A,"1) Alegação: A vitamina A auxilia na visão. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações..
2) Alegação: A vitamina A auxilia no funcionamento do sistema imune. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
3) Alegação: A vitamina A auxilia no metabolismo do ferro. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
4) Alegação: A vitamina A contribui para a manutenção da pele. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
5) Alegação: A vitamina A auxilia na manutenção de mucosas.  Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações
6) Alegação: A vitamina A auxilia no processo de diferenciação celular. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
7) Alegação: Fonte de vitamina A. Requisitos: As alegações são restritas aos suplementos alimentares cuja quantidade de vitamina A atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações.
8) Alegação: Alto conteúdo/Rico em/Alto teor de vitamina A. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de vitamina A corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações., desde que não ultrapasse o limite máximo estabelecido na IN 28/2018 e suas atualizações.",Não há requisitos adicionais,
Riboflavina,83-88-5,"European pharmacopoeia 9.0 

USP-NF

Prepared at the 31st JECFA (1987), published in FNP 38 (1988) and in FNP 52 (1992). Metals and arsenic specifications revised at the 59th JECFA (2002). A group ADI of 0-0.5 mg/kg bw for riboflavin from Bacillus subtilis, synthetic riboflavin and riboflavin-5-phosphate was established at the 51st JECFA (1998).",Fonte de vitamina B2,"1) Alegação: A riboflavina auxilia no metabolismo energético. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
2)  Alegação: A riboflavina auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
3) Alegação: A riboflavina auxilia na formação de células vermelhas do sangue. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
4) Alegação: A riboflavina é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
5) Alegação: A riboflavina auxilia na visão. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
6) Alegação:  A riboflavina auxilia no metabolismo do ferro. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
7) Alegação: A riboflavina contribui para a manutenção da pele e de mucosas. Requisitos:A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
8) Alegação: Fonte de riboflavina. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.
9)Alegação:  Alto conteúdo/Rico em/Alto teor de riboflavina. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018. O termo ""vitamina B2"" pode ser usado em substituição ao termo ""riboflavina"" nas alegações.",Não há requisitos adicionais,
Riboflavina-5'-fosfato de sódio,130-40-5,"European pharmacopoeia 9.0 

FCC 

USP-NF

Prepared at the 31st JECFA (1987), published in FNP 38 (1988) and in FNP 52 (1992). Metals and arsenic specifications revised at the 59th JECFA (2002). Add 6. A group ADI 0-0.5 mg/kg bw for riboflavin from Bacillus subtilis, synthetic riboflavin and riboflavin-5-phosphate was established at the 51st JECFA (1998).",Fonte de vitamina B2,"""1) Alegação: A riboflavina auxilia no metabolismo energético. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
2)  Alegação: A riboflavina auxilia no metabolismo de proteínas, carboidratos e gorduras. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
3) Alegação: A riboflavina auxilia na formação de células vermelhas do sangue. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
4) Alegação: A riboflavina é um antioxidante que auxilia na proteção dos danos causados pelos radicais livres. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
5) Alegação: A riboflavina auxilia na visão. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
6) Alegação:  A riboflavina auxilia no metabolismo do ferro. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
7) Alegação: A riboflavina contribui para a manutenção da pele e de mucosas. Requisitos:A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
8) Alegação: Fonte de riboflavina. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina atenda aos valores mínimos estabelecidos na IN 28/2018 e suas atualizações. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações.
9)Alegação:  Alto conteúdo/Rico em/Alto teor de riboflavina. Requisitos: A alegação é restrita aos suplementos alimentares cuja quantidade de riboflavina corresponda ao dobro dos valores mínimos estabelecidos na IN 28/2018 e suas atualizações, desde que não ultrapasse o limite máximo estabelecido na IN 28/2018. O termo """"vitamina B2"""" pode ser usado em substituição ao termo """"riboflavina"""" nas alegações. """,Não há requisitos adicionais,
